Rank,Released,Movies,worldwide box office $,domestic box office $,international box office $
424,1974,The Man with the Golden Gun,97600000,21000000,76600000
425,2003,Once Upon a Time in Mexico,97413527,56330657,41082870
426,2007,TMNT,96096018,54149098,41946920
427,2000,The 6th Day,96024898,34543701,61481197
428,2003,Underworld,95708457,51970690,43737767
429,2010,Killers,95572749,47059963,48512786
430,2006,The Guardian,94973540,55011732,39961808
431,2015,Sha po long 2,94809560,0,94809560
432,2013,Riddick,94763758,42025135,52738623
433,2022,The Woman King,94374749,67328130,27046619
434,2018,Singwa Hamgge: Ingwa Yeon,93453434,1200246,92253188
435,2008,Speed Racer,93394462,43945766,49448696
436,2021,Shin Evangelion Gekijôban,93370370,826140,92544230
437,2004,House of Flying Daggers,92863945,11050094,81813851
438,2007,Gwoemul,92618117,2201923,90416194
439,2009,Underworld 3: Rise of the Lycans,92141886,45802315,46339571
440,2018,Jing Zhou,91462581,521396,90941185
441,2019,Rambo: Last Blood,91378886,44819352,46559534
442,2011,Season of the Witch,91126600,24827228,66299372
443,2000,Romeo Must Die,91036760,55973336,35063424
444,1984,The Karate Kid,90857623,90815558,42065
445,1976,King Kong,90614445,52614445,38000000
446,2015,Veteran,90498430,1155652,89342778
447,2018,Di Ren Jie Zhi Si Da Tian Wang,90035547,262963,89772584
448,2011,Sucker Punch,89758389,36392502,53365887
449,2016,Line Walker (使徒行者),89569657,0,89569657
450,1974,The Trial of Billy Jack,89000000,89000000,0
451,2005,The Transporter 2,88978458,43095856,45882602
452,2012,Brave Hearts Umizaru,88331372,0,88331372
453,2017,Chasing the Dragon,87969037,456854,87512183
454,1997,Spawn,87949859,54979992,32969867
455,2008,Max Payne,87775050,40689393,47085657
456,2012,Dodookdeul,86960532,532699,86427833
457,2007,The Kingdom,86802457,47467250,39335207
458,1979,Apocalypse Now,85959710,83535860,2423850
459,2003,Tears of the Sun,85632458,43632458,42000000
460,2018,Mortal Engines,85481904,15951040,69530864
461,2018,Robin Hood,85210012,30824628,54385384
462,2012,Long men fei jia,85130718,170276,84960442
463,1991,Point Break,83531958,43218387,40313571
464,2021,Mortal Kombat,83508259,42326031,41182228
465,1995,Assassins,83306268,30306268,53000000
466,2012,Act of Valor,82497035,70012847,12484188
467,2022,Xin Shen Bang: Yang Jian (新神榜：杨戬),82453728,0,82453728
468,2015,Hitman: Agent 47,82182803,22467450,59715353
469,2002,Reign of Fire,82150183,43061982,39088201
470,2004,Catwoman,82078046,40202379,41875667
471,1969,On Her Majesty's Secret Service,82000000,22800000,59200000
472,1988,Midnight Run,81613606,38413606,43200000
473,2015,Zhan Lang,81461069,0,81461069
474,2011,Drive,81357930,35060689,46297241
